ArtistId,albumCount
223,1
265,1
19,2
122,1
80,2
244,1
202,1
101,2
59,3
141,1
242,1
263,1
221,1
120,1
78,1
99,2
200,1
17,1
57,1
139,2
240,1
261,1
36,1
118,5
97,1
179,1
219,1
158,1
76,2
15,1
198,1
137,2
259,1
156,3
55,1
13,1
116,1
135,1
238,1
196,1
95,1
53,2
217,1
215,1
257,1
11,2
114,6
51,3
236,1
213,1
93,1
9,1
72,1
70,1
133,1
232,1
255,1
89,1
112,1
211,1
234,1
68,3
91,1
251,1
152,4
230,1
274,1
87,1
131,2
209,1
253,1
249,1
110,2
106,1
150,10
228,1
7,1
85,1
272,1
207,1
108,1
268,1
148,1
125,1
5,1
247,1
270,1
104,1
127,3
226,3
24,1
83,1
146,2
266,1
3,1
245,2
22,14
102,1
144,1
81,2
205,1
142,3
1,2
264,1
41,1
121,1
224,1
243,1
20,1
100,1
203,1
140,1
222,1
262,1
18,2
159,1
79,1
16,2
201,1
138,1
58,11
117,1
180,1
157,1
241,1
14,1
37,1
136,1
98,1
197,1
220,1
155,1
77,2
12,2
199,1
52,2
260,1
153,1
56,1
214,1
96,1
10,1
218,1
50,10
258,1
233,1
54,2
212,1
115,1
69,1
237,1
231,1
94,1
27,3
216,1
88,3
134,1
210,1
256,1
250,1
113,3
46,1
235,1
229,1
92,3
86,1
275,1
208,2
132,1
269,1
254,1
248,3
111,1
105,1
90,21
227,1
151,1
84,4
8,3
267,1
273,1
124,3
130,2
246,1
252,2
103,1
109,1
225,1
149,4
82,4
6,2
143,2
271,1
128,1
147,2
4,1
126,1
23,1
145,2
206,1
2,2
42,2
21,4
204,1
