GenreId,genreName
23,Alternative
4,Alternative & Punk
6,Blues
11,Bossa Nova
24,Classical
32,Club
22,Comedy
21,Drama
30,Dub Step
12,Easy Listening
15,Electronica/Dance
13,Heavy Metal
17,Hip Hop/Rap
2,Jazz
7,Latin
3,Metal
25,Opera
9,Pop
14,R&B/Soul
8,Reggae
1,Rock
5,Rock And Roll
20,Sci Fi & Fantasy
18,Science Fiction
10,Soundtrack
31,Trance
19,TV Shows
16,World
